5.2013,-10.09,-5.3134,-5.2513,-7.9396,-6.1162,-7.7406,-9.7996,-4.0435,-5.6153
2.317,-6.4498,-7.2814,-7.2197,-7.0414,-7.9485,-5.8429,-7.8669,-1.8278,-4.9704
2.6771,-8.3773,-6.2275,-8.1744,-7.2675,-6,-6.849,-8.8007,-5.0846,-8.4773
3.2067,-13.512,-5.3253,-7.7919,-9.8819,-5.7035,-4.8618,-7.178,-5.5615,-4.0589
4.4073,-10.476,-5.2899,-9.2191,-12.469,-7.2633,-5.7507,-8.3555,-1.5693,-5.8018
3.8724,-11.71,-6.9372,-6.5597,-12.626,-5.8404,-5.0399,-4.4096,-4.7108,-6.5194
3.6032,-12.359,-7.198,-8.7014,-13.252,-5.2049,-4.8868,-6.0795,-4.8327,-6.4015
4.254,-13.79,-3.8926,-5.5212,-12.214,-7.3065,-3.8652,-8.1182,-4.6722,-6.2838
4.2294,-12.559,-5.9161,-8.5224,-12.946,-6.3129,-5.231,-8.3301,-4.0668,-5.2203
5.2846,-11.7,-4.9836,-6.9733,-10.917,-4.9741,-4.6158,-7.5204,-5.1579,-4.5881
4.2223,-11.646,-7.0241,-7.9907,-11.635,-5.9977,-5.0911,-7.4525,-4.4105,-3.8777
3.9724,-12.998,-7.3932,-8.2577,-11.991,-5.6857,-5.9914,-6.8877,-4.8273,-2.5859
4.1088,-14.605,-5.6029,-8.09,-11.1,-4.5772,-6.0402,-6.5661,-5.6683,-3.5811
3.891,-13.82,-5.5266,-7.6832,-11.233,-4.1457,-6.4261,-6.0627,-3.9083,-2.4217
3.9172,-15.27,-4.3174,-8.029,-10.929,-5.091,-5.4042,-7.5553,-6.4766,-6.3096
4.3934,-6.6751,-4.5963,-6.0016,-5.0931,-7.8295,-4.9019,-7.86,-7.141,-7.0379
5.8364,-8.8155,-5.3131,-3.922,-6.5509,-8.5368,-7.2382,-9.2268,-5.567,-7.3826
4.0883,-6.6554,-5.0535,-5.5709,-7.6867,-5.9661,-3.3726,-8.8061,-4.6441,-5.9084
5.9739,-8.7425,-4.4276,-6.9433,-5.8026,-9.4184,-6.576,-8.0961,-4.4356,-6.3317
5.9361,-9.2239,-4.4379,-8.4874,-7.5919,-7.2462,-4.4959,-8.421,-4.7901,-5.9032
1.4477,-3.228,-4.8548,-4.9558,-2.1667,-7.8769,-2.9136,-7.5624,-6.2512,-8.6567
5.7561,-9.297,-2.6505,-6.0808,-8.5933,-8.9408,-6.8118,-8.8675,-5.9328,-6.185
3.0975,-6.9454,-3.0131,-5.1147,-7.1237,-8.9575,-3.0164,-8.629,-7.239,-7.5873
5.3451,-9.6714,-2.2811,-4.8442,-7.0553,-8.9288,-2.9042,-9.7087,-3.7339,-7.3945
4.8407,-14.128,-3.8861,-7.727,-8.3561,-5.7479,-2.6047,-9.4737,-4.993,-6.6866
3.8077,-11.819,-5.972,-7.6021,-12,-5.3739,-4.5275,-9.0701,-5.3781,-3.9418
5.0993,-15.027,-4.9869,-7.24,-11.171,-5.1459,-5.7085,-9.0558,-5.0948,-4.973
3.8168,-12.664,-5.165,-7.198,-14.267,-7.5861,-7.0498,-9.2326,-3.2859,-7.3917
0.79201,-11.205,-5.7404,-2.8872,-10.308,-7.2,-2.4373,-10.359,-5.2861,-7.1849
3.5834,-12.898,-4.1928,-8.1094,-11.32,-6.6185,-4.7865,-8.3701,-5.119,-7.1546
1.4312,-9.3567,-1.2598,-3.8419,-3.7992,-8.7808,-6.2046,-8.9387,-3.0453,-9.3131
